obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
151, 161.0, 3407, 32980, 16255, 3781, 10713, 10448, 3651, 6076, 67, 51, 1, 87311,  1*
152, 162.0, 42692, 37734, 21829, 7975, 9884, 9592, 4301, 2811, 77, 41, 1, 136818,  1*
153, 163.1, 6631, 13095, 14113, 29045, 5008, 9121, 4531, 2773, 70, 50, 0, 84317,  1*
154, 164.0, 6445, 10232, 9797, 22801, 3616, 3846, 8146, 2664, 61, 64, 0, 67547,  1*
155, 166.1, 7814, 2277, 17450, 16290, 8652, 8795, 3787, 3997, 57, 75, 1, 69062,  1*
156, 166.9, 3071, 8414, 12336, 10634, 18135, 3693, 4802, 2487, 66, 64, 1, 63572,  1*
157, 168.0, 3977, 3350, 15392, 23827, 5991, 11068, 3801, 5395, 78, 66, 0, 72801,  1*
158, 169.0, 3367, 8164, 22020, 11532, 7630, 4279, 4056, 1493, 67, 66, 1, 62541,  1*
159, 170.1, 12222, 6357, 12776, 13232, 3874, 13683, 8844, 3722, 67, 75, 0, 74710,  1*
160, 171.0, 255656, 386387, 27075, 23493, 27818, 5940, 4960, 2887, 48, 57, 1, 734216,  1*
161, 172.0, 10183, 5725, 12478, 6188, 14289, 5997, 3776, 2343, 50, 50, 1, 60979,  1*
162, 173.0, 14074, 15548, 4673, 12378, 34125, 6897, 2414, 9676, 60, 34, 0, 99785,  1*
163, 174.0, 20138, 13369, 17557, 6941, 7962, 8777, 4323, 2675, 54, 29, 1, 81742,  1*
164, 175.0, 16905, 11016, 50562, 22511, 13188, 4876, 5351, 2629, 69, 56, 1, 127038,  1*
165, 176.0, 26569, 5794, 8187, 19437, 18119, 8600, 4036, 4372, 69, 57, 0, 95114,  1*
166, 176.9, 44886, 3550, 4248, 10936, 7386, 9771, 4363, 1373, 78, 64, 0, 86513,  1*
167, 177.9, 15654, 16901, 28135, 16747, 1865, 8727, 4980, 3349, 74, 70, 1, 96358,  1*
168, 179.0, 12424, 16805, 6807, 3627, 5437, 4449, 2984, 7199, 84, 54, 1, 59732,  1*
169, 179.9, 6811, 6739, 3683, 27708, 6191, 3649, 3660, 2319, 75, 61, 0, 60760,  1*
170, 181.0, 1380, 20462, 18667, 43209, 8352, 6832, 4818, 3777, 56, 70, 0, 107497,  1
171, 182.0, 10895, 18755, 17840, 14466, 5106, 10029, 5176, 5646, 60, 66, 1, 87913,  1
172, 184.0, 11280, 10263, 27576, 15417, 10447, 7415, 6952, 3606, 57, 80, 1, 92956,  1
173, 184.9, 92098, 75862, 69253, 8263, 11939, 7984, 5587, 1855, 50, 57, 1, 272841,  1
174, 186.0, 343173, 118426, 3762, 6968, 9544, 13743, 5096, 3409, 43, 35, 0, 504121,  1
175, 186.9, 13185, 8484, 10565, 10714, 7054, 4400, 1968, 3576, 44, 30, 0, 59946,  1
176, 187.9, 6005, 16517, 4841, 8433, 4104, 9850, 4665, 2958, 60, 30, 0, 57373,  1
177, 189.9, 14923, 33201, 1947, 19897, 5657, 11342, 3518, 7495, 75, 24, 0, 97980,  1
178, 190.9, 5239, 14028, 27864, 16092, 22859, 9055, 5207, 1504, 77, 50, 1, 101848,  1
179, 192.0, 9355, 3112, 8224, 9073, 7497, 11681, 3698, 5453, 83, 56, 0, 58093,  1
180, 192.9, 2015, 22569, 21887, 6876, 12788, 13169, 2796, 3560, 84, 60, 1, 85660,  1
181, 194.0, 17487, 13472, 7061, 21950, 8509, 9623, 3988, 3857, 90, 56, 0, 85947,  1
182, 194.9, 59830, 67856, 28348, 2994, 6764, 12558, 9635, 3872, 88, 50, 1, 191857,  1
183, 195.8, 31413, 66930, 1028, 4277, 5884, 11098, 10707, 2317, 75, 26, 0, 133654,  1
184, 197.0, 12093, 33832, 13870, 5681, 11205, 8456, 5297, 4551, 69, 21, 1, 94985,  1
185, 197.9, 31579, 20389, 4011, 8559, 12641, 14201, 8453, 6148, 75, 10, 0, 105981,  1
186, 199.0, 15263, 8297, 2450, 14940, 13958, 7652, 7520, 2750, 84, 14, 0, 72830,  1
187, 199.9, 13240, 27949, 13104, 9761, 19243, 10718, 8188, 2690, 88, 29, 1, 104893,  1
188, 200.9, 19178, 24546, 3385, 80928, 11913, 11409, 6940, 4686, 83, 44, 0, 162985,  1
189, 201.9, 302071, 29990, 6450, 23898, 10600, 9727, 4414, 2908, 75, 51, 0, 390058,  1
190, 202.9, 9548, 31484, 29557, 15841, 14244, 9243, 5849, 2362, 66, 54, 1, 118128,  1
191, 203.8, 4950, 26157, 106413, 36783, 21570, 9330, 6247, 6386, 51, 70, 1, 217836,  1
192, 203.8, 1666, 11662, 11311, 14996, 9468, 5855, 7504, 2718, 54, 64, 0, 65180,  1
