obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
123, 133.4, 7082, 17865, 30859, 20098, 9717, 17924, 9354, 9105, 57, 74, 1, 122004,  1*
124, 134.6, 489160, 37668, 42197, 41844, 15366, 29858, 13074, 11014, 57, 70, 1, 680181,  1*
125, 135.5, 19413, 7111, 44701, 11362, 18675, 28846, 10373, 8663, 64, 74, 1, 149144,  1*
126, 136.6, 8781, 5251, 7543, 10008, 27240, 31627, 5292, 15362, 70, 61, 0, 111104,  1*
127, 137.5, 5511, 22800, 12757, 14327, 44153, 19698, 11343, 15108, 77, 50, 0, 145697,  1*
128, 138.4, 637131, 48035, 32581, 7516, 20408, 11661, 7482, 15991, 69, 43, 1, 780805,  1*
129, 139.5, 634599, 64795, 31520, 12152, 7140, 25443, 33679, 6428, 64, 35, 1, 815756,  1*
130, 140.5, 20015, 17027, 24975, 16126, 19522, 30512, 17292, 11220, 54, 43, 1, 156689,  1*
131, 141.6, 13396, 5617, 6189, 4442, 10187, 22697, 13197, 8929, 66, 41, 1, 84654,  1*
132, 142.5, 2597, 27969, 3681, 5590, 3096, 17708, 27332, 10542, 78, 34, 0, 98515,  1*
133, 143.4, 7250, 9586, 10316, 19574, 9835, 19638, 4673, 5226, 84, 38, 0, 86098,  1*
134, 144.5, 12093, 5286, 12233, 10900, 13587, 4452, 13254, 3309, 75, 43, 1, 75114,  1*
135, 145.5, 13497, 10478, 22607, 35991, 11556, 12236, 11466, 12893, 54, 60, 0, 130724,  1*
136, 146.4, 3527, 12359, 5916, 3363, 6988, 28878, 5526, 8002, 64, 60, 1, 74559,  1*
137, 147.5, 14992, 23095, 4674, 11085, 13031, 23785, 20738, 11886, 66, 50, 0, 123286,  1*
138, 148.4, 5851, 9553, 10200, 17789, 10279, 10916, 26299, 4955, 70, 48, 0, 95842,  1*
139, 150.5, 17216, 44358, 3306, 18338, 13215, 16663, 12844, 12040, 75, 30, 0, 137980,  1*
140, 151.4, 13719, 54522, 53633, 14919, 18537, 20238, 9013, 13185, 54, 51, 1, 197766,  1*
141, 152.5, 2140, 1939, 4561, 5018, 4279, 12307, 12575, 9201, 67, 47, 0, 52020,  1*
142, 153.4, 9601, 12349, 10122, 5758, 12312, 12025, 7438, 7516, 70, 51, 1, 77121,  1*
143, 155.5, 4815, 9058, 1607, 17180, 9163, 13101, 13415, 11657, 69, 51, 0, 79996,  1*
144, 156.4, 5096, 9857, 3202, 4346, 15597, 17133, 12400, 11859, 78, 40, 0, 79490,  1*
145, 157.5, 13089, 12112, 8523, 5491, 5189, 12004, 17541, 3336, 78, 40, 1, 77285,  1*
146, 158.5, 7965, 10207, 37854, 11061, 6605, 18762, 12658, 11028, 77, 47, 1, 116140,  1*
147, 159.4, 5628, 1953, 2892, 6944, 7130, 19133, 9497, 8527, 88, 41, 0, 61704,  1*
148, 160.5, 5766, 18916, 19437, 3583, 9780, 15922, 19398, 12124, 80, 51, 1, 104926,  1*
149, 161.4, 9451, 11052, 9215, 11090, 34783, 17344, 13470, 6223, 81, 48, 0, 112628,  1*
150, 162.4, 12865, 22566, 36691, 4727, 12866, 20815, 12105, 10377, 81, 43, 1, 133012,  1*
151, 163.5, 12071, 21646, 14983, 27793, 16474, 17653, 10721, 14841, 64, 50, 0, 136182,  1*
152, 164.4, 7200, 14341, 14460, 24437, 9304, 12081, 9965, 16655, 61, 56, 0, 108443,  1*
153, 165.5, 5831, 5898, 288, 6184, 5501, 6484, 7461, 11227, 60, 57, 0, 48874,  1*
154, 166.4, 5246, 6024, 3580, 11310, 17643, 8192, 15954, 14246, 61, 53, 0, 82195,  1*
155, 167.3, 1954, 4529, 3581, 8822, 13456, 18025, 13471, 7156, 74, 47, 0, 70994,  1*
156, 168.4, 401263, 66226, 5765, 23045, 22800, 19405, 8336, 15532, 74, 34, 0, 562372,  1*
157, 169.4, 407360, 97619, 19409, 45049, 17622, 20620, 23201, 9892, 61, 35, 0, 640772,  1*
158, 170.4, 317733, 33153, 6647, 6492, 10485, 9016, 12906, 3035, 54, 29, 1, 399467,  1*
159, 171.4, 14584, 30420, 9207, 47385, 62159, 17179, 29842, 21921, 41, 34, 0, 232697,  1*
160, 172.4, 10432, 12043, 21432, 15545, 110011, 18438, 20786, 26251, 47, 34, 1, 234938,  1*
161, 173.4, 1957, 22077, 35187, 15383, 32737, 34267, 19691, 9009, 57, 35, 1, 170308,  1*
162, 174.4, 8025, 3635, 18869, 26823, 13428, 23770, 15261, 8745, 66, 50, 0, 118556,  1*
163, 175.3, 5934, 9010, 2510, 11908, 26872, 51247, 18391, 17310, 87, 40, 0, 143182,  1*
164, 176.4, 2461, 14593, 16306, 9154, 16468, 21899, 19180, 24049, 90, 47, 1, 124110,  1*
165, 177.3, 4825, 14107, 11758, 5407, 21404, 23528, 41124, 9252, 93, 40, 1, 131405,  1*
166, 179.4, 14953, 13962, 6450, 16596, 36418, 16715, 31168, 5804, 93, 26, 0, 142066,  1*
167, 180.3, 469861, 25933, 16579, 19608, 31690, 26866, 33381, 10289, 83, 34, 0, 634207,  1
168, 181.4, 11393, 28490, 3090, 16671, 54753, 20577, 25180, 12028, 80, 29, 0, 172182,  1
169, 182.3, 57770, 26670, 7583, 46814, 8546, 15731, 29786, 19375, 74, 41, 0, 212275,  1
170, 183.4, 13671, 2634, 6951, 87144, 54584, 31387, 18788, 6165, 63, 50, 0, 221324,  1
171, 184.4, 1682233, 354412, 46099, 27783, 22451, 34018, 79363, 32786, 48, 43, 1, 2279145,  1
172, 185.4, 408501, 83797, 12826, 14365, 5794, 27442, 12930, 8260, 43, 44, 0, 573915,  1
173, 186.4, 684759, 254759, 24540, 12526, 40590, 40862, 21645, 11715, 38, 23, 1, 1091396,  1
174, 187.3, 2301, 15768, 7653, 5726, 21374, 22797, 22241, 4902, 44, 8, 1, 102762,  1
175, 188.3, 8530, 15870, 9024, 47616, 11720, 17010, 8030, 12894, 54, 26, 0, 130694,  1
176, 189.4, 23970, 47983, 21823, 21459, 12668, 26809, 23863, 13371, 56, 34, 1, 191946,  1
177, 190.3, 30767, 59841, 33526, 6525, 15852, 37160, 11227, 19227, 66, 44, 1, 214125,  1
178, 191.3, 4488, 22205, 8448, 3760, 12670, 25051, 29170, 4073, 66, 43, 1, 109865,  1
179, 192.4, 35973, 25035, 52348, 7225, 22886, 34721, 17825, 8528, 70, 37, 1, 204541,  1
