obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
165, 175.3, 6559, 8554, 5753, 3666, 13711, 7789, 7177, 2873, 47, 41, 1, 56082,  2*
166, 176.5, 22120, 15563, 5569, 4319, 5300, 15647, 8230, 4198, 53, 40, 1, 80946,  2*
167, 177.3, 9762, 25170, 9616, 14088, 8721, 16642, 6595, 2567, 61, 41, 0, 93161,  2*
168, 178.4, 11187, 20991, 349, 17720, 4741, 6980, 7258, 6160, 67, 37, 0, 75386,  2*
169, 179.4, 9476, 11516, 10945, 20419, 11909, 5571, 7552, 4825, 56, 47, 0, 82213,  2*
170, 181.4, 7328, 10607, 16383, 9273, 1345, 8103, 5155, 5235, 47, 61, 1, 63429,  2
171, 182.3, 353056, 33686, 14045, 12488, 4915, 7758, 3450, 3316, 41, 60, 1, 432714,  2
172, 183.4, 9976, 34264, 17142, 17139, 4179, 9327, 4856, 3445, 43, 56, 1, 100328,  2
173, 184.3, 18741, 5969, 6143, 2170, 5894, 8375, 7116, 2474, 53, 48, 1, 56882,  2
174, 185.3, 30521, 27645, 8985, 13915, 17906, 7149, 8137, 5502, 44, 48, 0, 119760,  2
175, 187.3, 268658, 147651, 16128, 15329, 30350, 14020, 12328, 5465, 40, 38, 1, 509929,  2
176, 188.3, 20305, 16148, 7372, 17836, 10670, 8405, 18010, 4402, 41, 38, 0, 103148,  2
177, 189.4, 9799, 20203, 18942, 10609, 20208, 6316, 12446, 7696, 41, 41, 1, 106219,  2
178, 189.4, 281415, 126318, 11084, 21125, 9268, 4608, 15582, 2565, 30, 43, 0, 471965,  2
