obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
118, 127.1, 34885, 32297, 18675, 9845, 11835, 9198, 12467, 1925, 41, 63, 1, 131127,  2*
119, 128.0, 12092, 16524, 11129, 8663, 7367, 5323, 8573, 2952, 29, 51, 1, 72623,  2*
120, 129.2, 416824, 57460, 13804, 10961, 7799, 9805, 4191, 4368, 26, 37, 1, 525212,  2*
121, 130.0, 160976, 10784, 4509, 6132, 2781, 1489, 4561, 740, 17, 40, 0, 191972,  2*
122, 131.2, 4387, 33961, 3972, 1823, 14923, 5803, 2360, 4409, 23, 27, 1, 71638,  2*
123, 132.1, 86648, 53660, 13739, 7738, 10649, 8710, 8375, 3272, 20, 20, 1, 192791,  2*
124, 133.1, 19020, 25843, 60803, 8703, 4974, 5105, 3069, 2519, 11, 40, 1, 130036,  2*
125, 134.1, 106972, 57584, 15640, 17133, 9885, 9245, 3555, 4525, 16, 35, 0, 224539,  2*
126, 135.1, 782106, 76909, 16350, 22034, 16197, 9158, 13339, 6338, 10, 50, 0, 942431,  2*
127, 136.2, 1922939, 388201, 76988, 12083, 8912, 17508, 12121, 10559, 1, 47, 1, 2449311,  2*
128, 137.1, 432152, 37858, 213, 13097, 9451, 11260, 10021, 13807, 11, 20, 0, 527859,  2*
129, 138.1, 37861, 38890, 24137, 10304, 35595, 18132, 7715, 5169, 21, 17, 1, 177803,  2*
130, 139.1, 10313, 6655, 11619, 13480, 3305, 14828, 6009, 4025, 40, 29, 0, 70234,  2*
131, 140.0, 107571, 24178, 573, 606, 1698, 1004, 1612, 828, 41, 20, 0, 138070,  2*
132, 141.0, 21470, 6912, 2600, 6954, 2804, 7777, 9460, 3540, 50, 35, 0, 61517,  2*
133, 142.1, 10691, 11719, 26335, 26134, 2305, 8481, 6154, 3379, 43, 56, 1, 95198,  2*
134, 143.0, 6878, 18927, 10550, 6002, 12420, 3863, 4408, 2267, 27, 51, 1, 65315,  2*
135, 145.1, 2426, 19562, 5765, 11093, 10290, 8033, 4272, 2479, 47, 75, 0, 63920,  2*
136, 146.0, 12212, 23571, 13779, 10209, 14718, 5492, 2830, 4316, 29, 54, 1, 87127,  2*
137, 147.1, 14760, 25146, 14482, 10752, 12074, 8826, 6064, 5215, 34, 56, 1, 97319,  2*
138, 148.0, 45326, 11037, 7883, 1799, 2100, 4590, 5844, 5293, 34, 57, 1, 83872,  2*
139, 149.1, 209932, 76818, 13133, 6415, 13445, 7098, 6584, 5112, 29, 53, 1, 338537,  2*
140, 150.1, 19287, 7235, 20407, 2258, 7371, 5651, 5814, 3163, 35, 61, 1, 71186,  2*
141, 151.0, 32295, 9881, 10836, 21411, 17491, 5950, 3243, 7386, 30, 66, 0, 108493,  2*
142, 152.1, 19977, 57174, 25630, 19153, 5575, 6630, 5241, 4863, 20, 66, 1, 144243,  2*
143, 153.1, 9886, 12470, 3999, 27659, 6632, 9180, 5807, 7179, 29, 83, 0, 82812,  2*
144, 154.0, 23951, 25289, 4092, 6826, 7449, 12476, 2726, 2392, 37, 67, 0, 85201,  2*
145, 155.1, 8314, 9781, 19734, 2426, 4836, 17170, 5443, 2664, 51, 64, 1, 70368,  2*
146, 156.0, 54409, 88837, 2503, 3129, 6049, 6671, 1843, 3404, 53, 41, 0, 166845,  2*
147, 157.0, 224511, 31522, 1727, 6151, 3011, 1748, 3836, 2738, 37, 26, 0, 275244,  2*
148, 158.0, 105487, 28098, 7504, 6093, 2025, 2216, 1591, 1764, 16, 30, 1, 154778,  2*
149, 159.0, 174013, 18247, 5171, 4633, 3330, 4148, 1788, 745, 3, 26, 1, 212075,  2*
150, 160.1, 6113, 17619, 7246, 9067, 7040, 13095, 7023, 3016, 20, 47, 0, 70219,  2*
151, 161.0, 49884, 11134, 8676, 23515, 7757, 8440, 7865, 5112, 37, 61, 0, 122383,  2*
