obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
128, 139.4, 12534, 6082, 699, 12311, 4513, 10684, 8097, 4611, 56, 69, 0, 59531,  2*
129, 140.4, 43830, 13370, 2160, 9609, 3419, 12223, 3429, 5453, 61, 57, 0, 93493,  2*
130, 141.4, 26554, 56469, 16869, 15558, 6455, 6392, 7209, 6048, 53, 51, 1, 141554,  2*
131, 142.3, 20355, 29898, 48659, 8702, 7886, 10662, 6226, 7586, 64, 57, 1, 139974,  2*
132, 144.4, 23006, 27663, 15766, 3302, 9094, 19406, 4105, 3595, 63, 51, 1, 105937,  2*
133, 145.3, 8652, 2790, 16398, 13075, 11929, 3604, 3422, 4066, 50, 74, 1, 63936,  2*
134, 146.5, 4882, 22541, 9281, 13280, 4617, 10426, 6185, 6709, 56, 64, 0, 77921,  2*
135, 147.3, 59606, 56742, 24847, 13432, 12267, 5450, 6843, 2611, 35, 67, 1, 181798,  2*
136, 149.4, 65475, 45603, 52493, 18650, 9306, 10896, 3309, 3703, 35, 75, 1, 209435,  2*
137, 150.3, 17350, 9952, 13859, 10863, 5247, 9246, 9209, 6233, 41, 56, 1, 81959,  2*
138, 151.4, 37406, 25336, 33070, 31045, 6838, 9371, 8654, 9364, 48, 69, 1, 161084,  2*
139, 152.3, 62096, 34925, 12127, 3086, 7689, 5252, 3077, 4061, 50, 56, 1, 132313,  2*
140, 153.4, 24237, 30625, 7671, 37023, 9584, 7939, 2945, 6532, 44, 74, 0, 126556,  2*
141, 154.3, 14560, 33064, 22031, 3618, 13620, 12445, 5407, 3590, 41, 61, 1, 108335,  2*
142, 155.3, 21995, 26590, 18594, 14248, 6622, 4997, 4697, 4471, 38, 56, 1, 102214,  2*
143, 156.4, 19356, 33908, 7451, 3241, 9346, 5403, 15150, 6809, 40, 51, 1, 100664,  2*
