obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
128, 134.6, 4465, 30807, 3012, 9870, 1356, 4587, 6072, 2409, 21, 61, 0, 62578,  1*
129, 135.6, 17254, 12205, 12819, 2256, 3780, 4800, 4029, 4159, 38, 70, 1, 61302,  1*
130, 136.6, 8164, 13163, 12574, 9662, 3817, 8037, 5519, 4368, 51, 60, 1, 65304,  1*
131, 137.5, 9024, 6605, 15954, 8106, 12968, 4957, 3656, 4710, 57, 60, 1, 65980,  1*
132, 139.5, 4641, 16326, 20583, 2084, 19484, 6998, 2713, 5490, 64, 64, 1, 78319,  1*
133, 140.5, 6400, 10558, 28723, 18521, 6552, 7051, 3564, 3089, 54, 83, 1, 84458,  1*
134, 141.6, 83596, 173065, 13507, 19731, 11465, 6261, 4039, 5736, 38, 66, 0, 317400,  1*
135, 142.5, 401038, 140922, 31280, 28747, 13368, 10497, 7096, 3299, 26, 61, 1, 636247,  1*
136, 144.6, 18259, 36738, 26334, 7017, 13137, 2679, 6359, 4292, 13, 53, 1, 114815,  1*
137, 145.5, 9946, 6084, 13203, 7906, 8321, 12006, 3873, 4007, 47, 53, 1, 65346,  1*
138, 146.6, 9484, 33171, 13243, 9584, 2166, 5490, 3730, 2396, 53, 57, 1, 79264,  1*
139, 147.5, 14761, 20261, 38086, 18912, 3186, 7532, 1791, 4500, 61, 66, 1, 109029,  1*
140, 148.6, 11347, 14892, 5390, 3424, 6359, 12677, 4382, 5020, 69, 61, 1, 63491,  1*
141, 149.5, 4301, 8299, 4917, 8186, 4307, 6592, 10064, 6528, 66, 57, 0, 53194,  1*
142, 150.5, 5717, 30254, 1658, 1887, 10589, 6113, 2834, 4534, 70, 38, 0, 63586,  1*
143, 151.5, 9363, 23611, 23738, 6789, 7991, 6373, 2875, 1678, 74, 29, 1, 82418,  1*
144, 152.5, 450407, 195170, 8940, 10811, 4180, 6722, 3822, 4338, 44, 20, 0, 684390,  1*
145, 153.4, 284170, 182533, 15698, 20358, 9094, 22525, 12563, 16889, 34, 7, 0, 563830,  1*
146, 154.6, 256599, 25041, 14986, 4514, 7602, 4983, 2469, 4215, 29, 24, 1, 320409,  1*
147, 155.5, 5839, 3195, 9115, 15310, 3825, 9113, 5350, 3267, 40, 30, 0, 55014,  1*
148, 156.4, 121078, 22641, 10990, 20178, 29438, 13919, 14072, 6724, 61, 47, 0, 239040,  1*
149, 157.5, 90672, 105490, 42232, 20703, 14375, 15311, 9231, 4446, 60, 56, 1, 302460,  1*
150, 158.4, 62769, 12452, 27261, 8296, 11736, 15908, 7000, 7173, 70, 63, 1, 152595,  1*
151, 159.6, 22473, 36880, 6490, 11758, 8245, 5394, 4925, 4499, 60, 48, 0, 100664,  1*
152, 160.5, 2916, 18911, 12984, 7000, 5067, 5728, 7288, 4325, 54, 53, 1, 64219,  1*
153, 162.5, 8761, 28352, 29984, 25001, 6697, 5636, 14642, 5070, 51, 64, 1, 124143,  1*
154, 163.4, 60133, 46408, 10226, 10497, 18469, 20797, 13272, 15835, 69, 47, 0, 195637,  1*
155, 164.5, 32343, 9460, 5658, 8086, 5404, 10281, 15856, 16256, 80, 44, 0, 103344,  1*
156, 165.5, 27901, 22051, 4063, 11518, 7568, 11272, 8861, 10631, 94, 34, 0, 103865,  1*
